Name;Category;Icon;Image;Id1;Id2;Id3
The Hives;Entertainment;thehivesicon.jpg;thehives.jpg;The Hives;The Hives;s
Stellan Skarsgí«rd;Entertainment;stellanskarsgardicon.jpg;stellanskarsgard.jpg;Stellan Skarsgí«rd;Stellan Skarsgard;stellan skarsgard
Alexander Skarsgí«rd;Entertainment;alexanderskarsgardicon.jpg;alexanderskarsgard.jpg;Alexander Skarsgí«rd;Alexander Skarsgard;alexander skarsgard
Noomi Rapace;Entertainment;noomirapaceicon.jpg;noomirapace.jpg;Noomi Rapace;Noomi Rapace;noomi rapace
ABBA;Entertainment;abbaicon.jpg;abba.jpg;Abba;ABBA;abba
Malin íƒkerman;Entertainment;malinakermanicon.jpg;malinakerman.jpg;Malin íƒkerman;Malin Akerman;malin akerman
Roxette;Entertainment;roxetteicon.jpg;roxette.jpg;Roxette;ROXETTE;roxette
The Cardigans;Entertainment;thecardigansicon.jpg;thecardigans.jpg;The Cardigans;The Cardigans;the cardigans
Greta Garbo;Entertainment;getagarboicon.jpg;getagarbo.jpg;Greta Garbo;Greta Garbo;greta garbo
Ingrid Bergman;Entertainment;ingridbergmanicon.jpg;ingridbergman.jpg;Ingrid Bergman;Ingrid Bergman;ingrid bergman
Peter Stormare;Entertainment;peterstormareicon.jpg;peterstormare.jpg;Peter Stormare;Peter Stormare;peter stormare
;;;;;;
Zlatan Ibrahimovic;Sports;zlatanicon.jpg;zlatan.jpg;Zlatan Ibrahimovic;Zlatan;zlatan ibrahimovic
Henrik Zetterberg;Sports;henrikzetterbergicon.jpg;henrikzetterberg.jpg;Henrik Zetterberg;Henrik Zetterberg;henrik zetterberg
Peter Forsberg;Sports;foppaicon.jpg;foppa.jpg;Peter Forsberg;Peter Forsberg;peter forsberg
Sven-Gí_ran Eriksson;Sports;svengoranerikssonicon.jpg;svengoraneriksson.jpg;Sven-Gí_ran Eriksson;Sven-Goran Eriksson;sven goran eriksson
Bjí_rn Borg;Sports;bjornborgicon.jpg;bjornborg.jpg;Bjí_rn Borg;Bjorn Borg;bjorn borg
Annika Sí_renstam;Sports;annikasorenstamicon.jpg;annikasorenstam.jpg;Annika Sí_renstam;Annika Sorenstam;annika sorenstam
Therese Alshammar;Sports;theresealshammaricon.jpg;theresealshammar.jpg;Therese Alshammar;Therese Alshammar;therese alshammar
Fredrik Ljungberg;Sports;fredrikljungbergicon.jpg;fredrikljungberg.jpg;Fredrik Ljungberg;Fredrik Ljungberg;fredrik ljungberg
Paolo Roberto;Sports;paolorobertoicon.jpg;paoloroberto.jpg;Paolo Roberto;Paolo Roberto;paolo roberto
